Faculty_Name,Faculty_Num,Max_Load,Course_Pref,Elec_Pref,Hd_CDC_Pref,Hd_Elec_Pref
Professor_1,1,3,[10 8 6 11],[7 3 5 1],[4 5],[5 3]
Professor_2,2,3,[7 2 4 1],[2 5 8 4],[5 3],[3 5]
Professor_3,3,3,[2 3 5 11],[3 5 6 2],[5 1],[5 2]
Professor_4,4,3,[11 6 3 1],[7 4 2 6],[4 3],[5 2]
Professor_5,5,3,[4 6 11 8],[1 7 5 3],[4 5],[4 1]
Professor_6,6,3,[5 4 10 9],[8 6 2 7],[2 5],[2 4]
Professor_7,7,3,[1 8 3 4],[2 5 7 4],[1 4],[2 5]
Professor_8,8,3,[1 5 4 7],[2 1 7 3],[4 1],[5 2]
Professor_9,9,3,[6 8 4 1],[2 1 8 5],[5 3],[5 1]
Professor_10,10,2,[10 11 4 7],[2 1 5 4],[4 3],[4 1]
Professor_11,11,2,[1 4 5 2],[3 7 5 6],[3 2],[4 3]
Professor_12,12,2,[10 1 5 8],[8 2 1 3],[2 4],[1 3]
Professor_13,13,2,[5 4 10 8],[3 5 7 8],[4 3],[2 3]
Professor_14,14,2,[11 3 7 9],[7 6 4 2],[3 1],[3 2]
Professor_15,15,2,[7 3 11 10],[7 4 6 8],[3 2],[3 4]
Professor_16,16,2,[10 7 8 4],[6 7 4 1],[3 2],[1 2]
Professor_17,17,2,[5 9 3 7],[5 4 6 8],[1 4],[3 5]
Professor_18,18,2,[11 6 5 4],[6 1 4 7],[4 5],[2 3]
Professor_19,19,2,[5 4 8 10],[4 2 6 1],[4 2],[1 4]
Professor_20,20,2,[10 8 9 2],[4 2 7 6],[5 4],[2 4]
Professor_21,21,2,[8 11 4 9],[5 7 1 2],[2 1],[2 4]
Professor_22,22,2,[4 6 3 5],[7 1 3 5],[5 3],[2 5]
Professor_23,23,2,[5 4 10 9],[7 1 8 2],[5 1],[2 1]
Professor_24,24,2,[6 10 2 9],[8 3 5 1],[4 3],[4 5]
Professor_25,25,2,[10 1 3 9],[2 6 7 4],[5 2],[4 3]
